ticker,view_return,prior_return
HDFCBANK.NS,0.197,0.0648
BHARTIARTL.NS,0.1428,0.0431
APOLLOHOSP.NS,-0.4483,0.0649
BIOCON.NS,-0.3691,0.0614
JSWENERGY.NS,-3.411,0.1118
SUDARSCHEM.NS,-0.2429,0.0756
AEGISLOG.NS,0.1695,0.0932
KPRMILL.NS,-0.1504,0.1101
GREENLAM.NS,0.5916,0.114
CAMLINFINE.NS,-0.6964,0.1407
SURYAROSNI.NS,-0.5051,0.1767
EIDPARRY.NS,-0.0815,0.0983
BANDHANBNK.NS,-0.3497,0.1162
ABREL.NS,0.1769,0.1303
INDIGO.NS,0.4763,0.0702
MARATHON.NS,0.8918,0.152
LTTS.NS,0.7773,0.0852
ASTERDM.NS,-0.0199,0.0901
