ticker,shares,latest_price,current_value,weight
HDFCBANK.NS,26,772.4500122070312,20083.700317382812,0.02
BHARTIARTL.NS,11,1822.5,20047.5,0.02
APOLLOHOSP.NS,2,8498.0,16996.0,0.02
BIOCON.NS,47,419.0,19693.0,0.02
JSWENERGY.NS,36,559.3499755859375,20136.59912109375,0.02
SUDARSCHEM.NS,22,882.1500244140625,19407.300537109375,0.02
AEGISLOG.NS,21,944.4000244140625,19832.400512695312,0.02
KPRMILL.NS,19,1065.800048828125,20250.200927734375,0.02
GREENLAM.NS,792,252.38999938964844,199892.87951660156,0.2
CAMLINFINE.NS,145,136.72999572753906,19825.849380493164,0.02
SURYAROSNI.NS,76,263.010009765625,19988.7607421875,0.02
EIDPARRY.NS,27,729.5499877929688,19697.849670410156,0.02
BANDHANBNK.NS,97,204.60000610351562,19846.200592041016,0.02
ABREL.NS,17,1198.4000244140625,20372.800415039062,0.02
INDIGO.NS,43,4709.7001953125,202517.1083984375,0.2
MARATHON.NS,496,402.8500061035156,199813.60302734375,0.2
LTTS.NS,36,3351.10009765625,120639.603515625,0.12
ASTERDM.NS,25,814.9500122070312,20373.75030517578,0.02
