ticker,horizon,model,pw_weight
BHARTIARTL.NS,1,ARIMAX,0.5611
BHARTIARTL.NS,1,VARX,0.4389
BHARTIARTL.NS,3,ARIMAX,0.5093
BHARTIARTL.NS,3,VARX,0.4907
BHARTIARTL.NS,6,ARIMAX,0.5159
BHARTIARTL.NS,6,VARX,0.4841
BHARTIARTL.NS,12,ARIMAX,0.5111
BHARTIARTL.NS,12,VARX,0.4889
SUDARSCHEM.NS,1,ARIMAX,0.4114
SUDARSCHEM.NS,1,VARX,0.5886
SUDARSCHEM.NS,3,ARIMAX,0.4229
SUDARSCHEM.NS,3,VARX,0.5771
SUDARSCHEM.NS,6,ARIMAX,0.4905
SUDARSCHEM.NS,6,VARX,0.5095
SUDARSCHEM.NS,12,ARIMAX,0.4616
SUDARSCHEM.NS,12,VARX,0.5384
AEGISLOG.NS,1,ARIMAX,0.4406
AEGISLOG.NS,1,VARX,0.5594
AEGISLOG.NS,3,ARIMAX,0.4282
AEGISLOG.NS,3,VARX,0.5718
AEGISLOG.NS,6,ARIMAX,0.4668
AEGISLOG.NS,6,VARX,0.5332
AEGISLOG.NS,12,ARIMAX,0.4553
AEGISLOG.NS,12,VARX,0.5447
