group,ticker,mst_degree_centrality
isolated,HDFCBANK.NS,0.2353
isolated,APOLLOHOSP.NS,0.0588
isolated,BIOCON.NS,0.0588
isolated,JSWENERGY.NS,0.0588
isolated,KPRMILL.NS,0.2353
isolated,GREENLAM.NS,0.1176
isolated,CAMLINFINE.NS,0.0588
isolated,SURYAROSNI.NS,0.1765
isolated,EIDPARRY.NS,0.1176
isolated,BANDHANBNK.NS,0.1176
isolated,ABREL.NS,0.1765
isolated,INDIGO.NS,0.1176
isolated,MARATHON.NS,0.0588
isolated,LTTS.NS,0.1176
isolated,ASTERDM.NS,0.1176
VARX_group_1,BHARTIARTL.NS,0.0588
VARX_group_1,AEGISLOG.NS,0.0588
VARX_group_1,SUDARSCHEM.NS,0.0588
